134,138,102,81,34
17,127,165,149,154
197,122,164,192,29
97,82,64,135,93
114,63,117,58,24
17,127,165,149,151
105,129,135,64,82
187,62,106,188,121
116,197,122,19,190
166,2,115,71,82
16,67,160,136,59
156,31,169,21,143
142,70,9,52,119
62,146,76,101,48
111,162,117,108,120
37,145,47,124,182
140,6,46,145,37
4,40,15,26,84
14,192,164,122,159
2,115,198,97,13
163,21,128,51,36
20,10,77,123,180
147,169,143,43,51
188,106,62,146,76
56,196,133,28,100
169,147,64,82,97
76,130,89,146,45
122,197,63,117,24
131,123,180,181,31
84,179,172,138,134
