134,138,102,81,87,185,130,76,67,160,132,75,88,182,124,47,145,37,68,175
62,146,76,67,160,132,75,88,182,124,47,145,37,68,91,156,180,195,123,131
17,127,165,149,154,16,67,76,130,139,65,186,160,132,75,88,182,124,47,145
157,180,156,91,68,37,145,47,124,182,98,169,31,12,155,88,59,136,160,67
197,122,164,192,29,189,102,81,87,185,130,76,67,160,132,75,88,182,124,47
62,146,76,67,160,132,75,88,182,124,47,145,37,68,91,156,180,195,123,131
97,82,64,147,169,31,12,155,88,182,124,47,145,37,68,91,156,180,195,123
6,46,145,37,68,91,156,180,195,177,42,74,105,147,169,31,12,155,88,182
114,63,117,108,100,28,30,187,62,146,76,67,160,132,75,88,182,124,47,145
89,146,76,67,160,132,75,88,182,124,47,145,37,68,91,156,180,195,123,131
17,127,165,149,154,16,67,76,130,139,65,186,160,132,75,88,182,124,47,145
12,31,169,21,128,51,93,135,64,147,181,180,156,91,68,37,145,46,184,41
105,147,169,31,12,155,88,182,124,47,145,37,68,91,156,180,195,123,131,144
126,91,156,180,195,123,131,144,11,37,145,47,124,182,98,169,31,12,155,88
187,62,146,76,67,160,132,75,88,182,124,47,145,37,68,91,156,180,195,123
71,82,64,147,169,31,12,155,88,182,124,47,145,37,68,91,156,180,195,123
116,197,122,164,192,29,189,102,81,87,185,130,76,67,160,132,75,88,182,124
138,102,81,87,185,130,76,67,160,132,75,88,182,124,47,145,37,68,91,156
166,2,73,109,137,44,177,195,180,156,91,68,37,145,46,6,113,60,23,140
175,68,37,145,47,124,182,98,169,31,12,155,88,59,136,160,67,76,130,139
16,67,76,130,139,65,186,160,132,75,88,182,124,47,145,37,68,91,156,180
1,30,28,100,108,117,63,197,122,164,192,29,189,102,81,87,185,130,76,67
156,180,195,123,131,144,11,37,145,47,124,182,98,169,31,12,155,88,59,136
22,170,70,9,52,119,34,81,102,189,29,192,164,122,197,116,118,111,162,117
142,70,9,52,119,34,81,102,189,29,192,164,122,197,116,118,111,162,117,108
62,146,76,67,160,132,75,88,182,124,47,145,37,68,91,156,180,195,123,131
47,145,37,68,91,156,180,195,177,42,74,105,147,169,31,12,155,88,182,124
111,118,116,197,122,164,192,29,189,102,81,87,185,130,76,67,160,132,75,88
67,76,130,139,65,186,160,132,75,88,182,124,47,145,37,68,91,156,180,195
37,145,47,124,182,98,169,31,12,155,88,59,136,160,67,76,130,139,65,186
