11,24,278,281,293,291,297,308,303,55
32,113,102,116,130,133,143,53,152,172
273,271,260,264,265,176,173,172,167,163
141,138,137,27,232,237,242,248,250,246
201,202,206,210,71,213,219,224,226,229
94,95,96,40,113,116,130,6,4,221
263,267,272,65,271,260,264,261,173,172
9,33,189,38,197,5,283,63,287,67
67,21,55,303,308,325,344,16,346,261
18,184,185,186,183,179,172,152,143,54
142,139,148,152,53,143,133,130,6,4
240,243,249,239,224,207,200,196,198,57
12,26,278,281,291,297,308,325,320,322
225,230,236,15,243,249,260,264,261,173
351,353,352,344,325,308,297,291,293,281
264,265,176,173,261,345,74,35,385,393
232,7,323,329,335,340,344,16,346,265
123,119,118,112,110,107,101,99,79,86
190,188,187,189,38,197,5,283,63,285
276,43,25,274,9,33,189,38,197,79
11,24,278,281,291,297,308,325,320,322
203,51,202,206,204,19,75,71,213,218
8,385,35,74,345,16,346,261,264,266
391,394,396,393,385,383,368,72,313,87
78,96,40,102,113,116,130,133,143,152
192,191,68,193,196,200,207,224,226,221
47,65,273,271,260,264,261,173,176,265
83,94,95,96,40,102,113,116,130,133
288,287,63,283,5,197,51,202,206,208
230,236,15,243,249,239,224,207,200,211
