11,69,279,26,12
32,113,40,102,116
273,65,272,267,263
141,145,149,153,158
201,202,51,197,79
94,92,62,34,90
263,267,272,268,0
9,33,10,2,355
67,21,55,303,301
18,184,185,186,29
142,139,135,131,129
240,243,15,236,230
12,26,279,69,11
225,230,236,15,243
351,353,352,344,16
264,260,257,253,256
232,7,323,329,328
123,119,118,112,109
190,188,191,68,194
276,11,24,278,281
11,24,278,26,279
203,51,197,5,283
8,385,383,381,382
391,389,387,60,22
78,96,40,113,102
192,191,68,193,195
47,65,271,260,257
83,98,78,96,95
288,287,67,21,55
230,225,220,215,52
