11,24,278,281,291,297,308,325,344,16,345,261,173,172,152,148,139,135,131,129
32,113,116,130,6,132,313,72,368,383,385,35,44,265,176,173,172,167,166,161
273,271,260,264,265,176,173,261,346,16,345,74,35,385,383,368,77,363,364,362
141,138,137,129,131,135,139,142,148,152,172,173,176,265,346,261,264,260,271,273
201,202,206,210,71,213,219,224,226,221,4,6,130,125,124,119,118,112,110,107
94,95,96,40,113,116,130,133,143,53,152,172,173,176,265,264,260,271,65,272
263,267,272,65,271,260,264,261,345,16,346,265,176,173,172,167,166,160,159,154
9,33,189,187,188,191,68,193,196,200,207,224,226,228,132,313,87,308,303,306
67,21,55,303,308,325,344,16,346,265,176,173,172,179,186,185,184,181,180,177
18,184,185,186,179,172,173,261,264,265,44,35,74,345,16,344,340,335,329,330
142,148,152,172,173,176,265,264,261,345,16,344,352,353,351,348,343,61,3,258
240,243,249,239,224,226,228,132,313,72,368,383,385,35,44,265,346,261,173,176
12,26,278,281,293,291,297,308,87,313,132,228,226,224,207,200,196,198,57,17
225,220,215,52,129,131,135,139,148,152,172,173,261,264,260,257,254,39,246,250
351,353,352,344,16,346,261,264,260,249,243,15,236,81,231,46,230,225,220,215
264,261,173,172,152,53,54,143,133,130,6,4,221,226,228,132,313,72,368,383
232,237,242,248,250,252,253,257,260,249,243,15,236,230,225,220,215,82,49,366
123,119,124,125,130,6,4,221,226,228,132,313,72,368,77,364,363,362,360,361
190,188,187,189,33,9,274,56,275,45,43,276,11,24,278,281,291,297,308,325
276,11,69,279,26,278,281,291,297,308,87,313,72,368,383,385,393,396,394,391
11,24,278,281,293,291,297,308,325,344,16,345,74,35,44,265,176,173,261,264
203,51,202,201,204,206,210,71,213,219,224,239,249,260,264,261,346,16,345,74
8,385,35,74,345,261,346,265,176,173,172,152,53,54,143,133,130,6,4,221
391,394,396,393,385,383,368,72,313,132,6,130,133,143,152,172,173,261,346,16
78,96,40,102,113,116,130,133,143,53,152,148,142,139,135,126,131,129,52,215
192,191,68,193,196,200,207,224,239,249,260,264,265,346,261,173,172,179,186,31
47,65,273,271,260,264,261,346,16,344,325,308,297,291,293,281,278,26,279,69
83,94,95,96,40,113,116,130,133,143,54,53,152,172,173,261,345,16,346,265
288,287,67,21,55,303,308,325,344,16,345,261,173,176,265,264,260,257,253,256
230,236,15,243,249,260,264,265,346,16,345,74,35,385,383,368,72,313,132,228
