81,57,198,41,125
127,178,7,123,38
176,63,170,203,212
3,14,130,209,95
103,69,109,62,28
128,165,23,30,120
182,48,114,101,130
139,30,100,198,43
162,106,114,101,181
178,7,80,193,110
99,165,23,30,139
91,107,109,62,28
120,100,198,111,24
71,118,184,55,189
33,44,46,98,95
86,163,122,187,39
20,68,1,157,132
98,46,44,175,203
190,39,187,163,155
5,75,160,53,37
132,211,72,143,46
156,62,109,69,29
71,118,184,42,207
16,65,198,43,111
159,84,123,38,177
12,183,124,81,192
18,187,122,155,190
22,168,97,35,58
145,126,163,122,155
165,63,170,203,49
