81,192,124,164,183,196,88,11,150,104
127,178,7,80,193,110,164,183,136,166
176,63,170,203,212,135,74,46,175,44
3,14,197,95,98,46,74,143,105,19
103,151,202,206,209,152,39,187,190,116
128,165,63,170,49,203,175,44,46,143
182,48,114,101,130,209,152,39,187,190
139,30,100,198,57,81,124,183,164,110
162,106,101,130,14,197,95,98,46,175
178,7,80,164,183,38,84,123,194,149
99,165,63,170,203,175,44,46,143,74
91,107,109,62,117,13,158,5,75,188
120,30,100,198,57,81,136,196,183,12
71,118,189,96,181,114,106,162,148,169
33,44,204,140,130,101,181,114,106,169
86,163,155,39,2,206,209,152,190,187
20,68,1,157,132,211,72,143,44,46
98,95,197,14,87,90,83,189,55,207
190,187,163,155,39,152,209,206,202,77
5,158,179,97,31,166,136,81,124,183
132,211,72,143,44,204,140,130,14,87
156,62,28,206,2,146,152,39,187,122
71,118,189,96,181,114,106,169,148,144
16,65,41,111,43,198,57,81,136,196
159,84,177,38,183,124,164,80,193,27
12,150,11,88,196,183,38,177,84,154
18,187,155,39,2,206,209,140,130,14
22,168,97,31,166,136,196,12,150,104
145,126,163,187,39,152,209,140,204,44
165,63,170,49,212,135,74,46,143,72
